Honestly last seven lectures are good .  : {"_type": "SpellCheck", "flaggedTokens": []}
`` lecture slides , explanations were very clear .  : {"_type": "SpellCheck", "flaggedTokens": [{"offset": 11, "token": "slides , explanations", "type": "UnknownToken", "suggestions": [{"suggestion": "slides, explanations", "score": 0.875}]}]}

<br /> it &#039; s very good to letting ask questions and explain again with suitable examples .  : {"_type": "SpellCheck", "flaggedTokens": []}

<br /> sometimes , some codes on white board were unclear at the back .  : {"_type": "SpellCheck", "flaggedTokens": [{"offset": 7, "token": "sometimes , some", "type": "UnknownToken", "suggestions": [{"suggestion": "sometimes, some", "score": 0.875}]}]}

<br /> overall very good !!!  : {"_type": "SpellCheck", "flaggedTokens": []}

<br /> '' The lectures were good and clear .  : {"_type": "SpellCheck", "flaggedTokens": []}

And they weren &#039; t too fast .  : {"_type": "SpellCheck", "flaggedTokens": []}

Writing code was somewhat confusing because I didn &#039; t know java before .  : {"_type": "SpellCheck", "flaggedTokens": [{"offset": 46, "token": "didn", "type": "UnknownToken", "suggestions": [{"suggestion": "didn't", "score": 0.7562947285392398}]}]}

Actually teaching is very good and can understand easily the concepts by examples which are given in the class.it will be more helpful if provide solved questions as well ! .  : {"_type": "SpellCheck", "flaggedTokens": [{"offset": 105, "token": "class.it", "type": "UnknownToken", "suggestions": [{"suggestion": "class. It", "score": 0.875}]}]}

thankyou  : {"_type": "SpellCheck", "flaggedTokens": []}

